review_text,rating,review_date,thumbs_up,risk_label,clean_text
"Shopee bao che cho shipper, shipper giao hàng không gọi điện khách hàng, chửi khách hàng bị nhắc nhở thì không giao hàng luôn trả hàng về cửa hàng, shipper tự hủy hàng liên tục mang tính trả thù. Đã báo cáo bên đơn vị vận chuyển và bộ phận CSKH nhưng vẫn vậy, vẫn chưa được giải quyết vấn đề.",1,2026-05-14 07:47:24,0,1,shopee bao_che cho shipper shipper giao hàng_không gọi điện khách_hàng chửi khách_hàng bị nhắc_nhở thì không giao hàng luôn trả hàng về cửa_hàng shipper tự hủy hàng liên_tục mang tính trả_thù đã báo_cáo bên đơn_vị vận_chuyển và bộ_phận cskh nhưng vẫn vậy vẫn chưa được giải_quyết vấn_đề
"giao diện mớ cực khó chịu, phần thông báo chỉ hiển thị 2 đơn hàng mà không phải tất cả cập nhật đơn hàng như xưa, trong khi chủ yếu cần vào xem cập nhật đơn hàng",2,2026-05-14 00:24:04,0,1,giao_diện mớ cực khó_chịu phần thông_báo chỉ hiển_thị 2 đơn hàng mà không phải tất_cả cập_nhật đơn hàng như xưa trong khi chủ_yếu cần vào xem cập_nhật đơn hàng
hàng của ngt là 0đ được mã giảm giá mà ông shipper cho người khác nhận là sao gọi thì không nghe cứ tắt làm shipper gì lạ vậy không làm được thì đổi người đi 😒,1,2026-05-14 06:09:14,2,1,hàng của ngt là 0 đ được mã giảm_giá mà ông shipper cho người khác nhận là sao gọi thì không nghe cứ tắt làm shipper gì lạ vậy không làm được thì đổi người đi
"thức đêm thức hôm đợi săn sale xong bị hủy, khóa f02? không hiểu tạo ra ngày sale để làm gì. để cho mọi người vào săn hay lọc chỉ cho khách hàng tiềm năng mua?",1,2026-05-15 07:23:48,0,1,thức đêm_thức hôm đợi săn sale xong bị hủy khóa f02 không hiểu tạo ra ngày sale để làm_gì để cho mọi người vào săn hay lọc chỉ cho khách_hàng tiềm_năng mua
"Chính shopee cho mã giảm giá, khi khách sử dụng thì hủy đơn rồi thông báo vi phạm chính cộng đồng, gây hại cho cộng đồng...rồi khóa acc không cho đăng nhập nữa. Gửi mail khiếu nại thì mở khóa nhưng quy acc của tôi vào diện theo dõi đặc biệt, hạn chế giao dịch. Tôi không thể đặt hàng hay xài xu. Gửi mail lần nữa thì gửi mail thông báo khóa vĩnh viễn. Làm ăn thì sống nhăng, giải quyết thì chả đâu vào đâu. App lớn mà xử lý vấn đề quá tệ.",1,2026-05-14 16:49:29,1,1,chính shopee cho mã giảm_giá khi khách sử_dụng thì hủy_đơn rồi thông_báo vi_phạm chính cộng_đồng gây hại cho cộng_đồng rồi khóa acc không cho đăng_nhập nữa gửi mail khiếu_nại thì mở khóa nhưng quy_acc của tôi vào diện theo_dõi đặc_biệt hạn_chế giao_dịch tôi không_thể đặt_hàng hay xài xu gửi mail lần nữa thì gửi mail thông_báo khóa vĩnh_viễn làm_ăn thì sống nhăng giải_quyết thì chả đâu vào đâu app lớn mà xử_lý vấn_đề quá tệ
hay bắt buộc số đt mới(mong shopee cải thiện ),2,2026-05-15 00:21:15,0,1,hay bắt_buộc số đt mới mong shopee cải_thiện
"Quá là lừa đảo, đặt hạt macca mà giao hạt mốc không ăn được, yêu cầu trả hàng thì không thấy gọi điện, không đến nhận hàng trả, quá thời gian trả hàng thì coi như mình mất tiền, đúng là shopee liên kết với gian hàng để lừa đảo, quá tệ!",1,2026-05-14 18:26:11,1,1,quá là lừa_đảo đặt hạt macca mà giao hạt mốc không ăn được yêu_cầu trả hàng thì không thấy gọi điện không đến nhận hàng trả quá thời_gian trả hàng thì coi như mình mất tiền đúng là shopee liên_kết với gian_hàng để lừa_đảo quá tệ
"ghét quảng cáo shopee trên các nền tảng khác vô cùng, không cần bấm luôn, chiếu hết quảng cáo cái tự động vô shopee 😡😡😡",1,2026-05-15 02:39:18,1,1,ghét quảng_cáo shopee trên các nền_tảng khác vô_cùng không cần bấm luôn chiếu hết quảng_cáo cái tự_động vô shopee
"_ Áp rất tốt, nhưng em rất tiếc, lý do là vào áp tự hạ âm lượng và vào mục video liền. - bấm dừng rồi tắt ap thì khi vào lại mới vào trang chính của app. _ không có giao diện tối. _ vài voucher xịn sử dụng thì chủ shop hủy cho mất voucher xịn.",1,2026-05-13 11:33:26,1,1,__áp rất tốt nhưng em rất tiếc lý_do là vào áp_tự hạ âm_lượng và vào mục_video liền bấm dừng rồi tắt ap thì khi vào lại mới vào trang chính của app _ không có giao_diện tối _ vài voucher xịn sử_dụng thì chủ shop hủy cho mất voucher xịn
"rất khó chịu, app thông báo đang giao. Đợi cả ngày chả thấy ai gọi, cuoiis cùng app thông báo mai giao, tốn tgian, rách việc 😡😡😡",1,2026-05-14 18:44:59,1,1,rất khó_chịu app thông_báo đang giao_đợi cả ngày chả thấy ai gọi cuoiis cùng app thông_báo mai giao tốn tgian rách việc
