review_text,rating,review_date,thumbs_up
10 điểm,5,2026-05-11 01:20:17,0
tốt,4,2026-05-11 01:05:04,0
OK,5,2026-05-11 01:02:12,0
ok,5,2026-05-11 00:53:26,0
yêu cầu xử lý thật nghiêm những người bán lừa dối khách hàng theo kiểu không chịu giao đơn hàng cho người mua!,1,2026-05-11 00:42:06,0
rất tệ đơn hàng mãi không đi đơn được,1,2026-05-11 00:16:51,0
Ok,5,2026-05-10 23:50:43,0
Chưa đặt được mã 80k bạn mới mà đã bắt bỏ Voucher😡,1,2026-05-10 23:26:55,0
"đặt đơn hàng 0đ,xong tự ý hủy,k hiểu?",1,2026-05-10 23:21:44,0
"app bịp, lừa khách hàng, cho vocher giảm giá làm gì dùng thì lại hủy đơn, rồi bảo lý do shop có hành vi giao dịch bất thường, vậy sao không chặn shop bán hàng hoặc chặn app mã đối với shop đó đi mà để khách mua rồi hủy cho mất vocher của khách, đúng là khôn lỗi, mọi người đừng tin app này qua nền tảng khác nhiều ưu đãi thật hơn",1,2026-05-10 23:15:46,0
rất tốt sản phẩm đa dạng chất lượng ổn định giá cả cạnh tranh,5,2026-05-10 22:46:43,0
"tự hủy rất nhiều đơn hàng. mỗi đợt sale, khi khách hàng săn sale mua hàng với giá hời lại thành giao dịch bất thường.tôi mua công khai trên app mà, có làm gì lén lút đâu?cực kì thất vọng.",1,2026-05-10 22:38:42,0
"bọc hàng siêu cẩn thận, đặt nhiều đơn rồi mà chất lượng vẫn khá ổn định.",5,2026-05-10 22:30:00,0
"hồi Jo chưa mua đồ trên này toàn mua tittop , Jo mua bên này quần bao đẹp rẻ hơn nữa chứ",5,2026-05-10 22:23:55,0
vâng okey lắm ad,5,2026-05-10 21:23:35,0
tốt 10đ,5,2026-05-10 19:04:58,0
"hay nhể, làm giả cả nút thoát quảng cáo cơ",1,2026-05-10 18:11:34,0
tài khoản đang yên đang lành mua hàng thì ứng dụng lại tự nhiên hâm hâm khóa tài khoản khách hàng.rất tệ khi bị ứng dụng khoá tự nhiên mà cái lý do vô lý vô cùng,1,2026-05-10 17:47:02,0
"tốt, shopee giải quyết trả hàng và hoàn tiền tốt",5,2026-05-10 17:37:51,0
shipper tệ rất tệ thái độ không tốt tự ý hủy đơn bằng cách tưh rời ngày nhận sau 3 ngày thì tự ý hủy đơn báo cáo lên thì không giải quyết shipper không thấy có gì thay đổi vẫn tự ý hủy đơn tốt hơn hết là dùng tiktok shop,1,2026-05-10 17:23:00,0
phí sàn tăng quá dữ,1,2026-05-10 17:13:26,0
voucher ng ta quay đc đợi đến 12 h đêm xông thu hồi,1,2026-05-10 17:07:48,0
tôi tôn trọng mỗi còn người,1,2026-05-10 17:01:49,2
"bỏ chức năng tự động giảm tiếng đi rồi sẽ quay lại đánh giá 5* , chức năng đó rất khó chịu , làm ảnh hưởng đến công việc của người khác",1,2026-05-10 16:58:56,0
djt mẹ quảng cáo lắm vl,1,2026-05-10 16:40:49,0
canh 15 hôm voucher giảm 100k mà cứ 0h00p là hết lượt sử dụng. voucher ảo thì đừng để ng khác quay được,1,2026-05-10 16:37:57,0
"Mặc định cứ vào app là bật mục Video Live dù không muốn, trong khi người dùng không thể mặc định mở app trang chủ, đề nghị cần sửa lỗi này, tránh gây khó chịu người dùng",1,2026-05-10 16:30:07,0
tot,5,2026-05-10 16:29:10,0
chó cứ quảng cáo 5 phút mai mà xem đc,1,2026-05-10 16:12:51,0
ok,5,2026-05-10 16:11:23,0
ok,5,2026-05-10 15:26:38,0
toàn lừa đảo,1,2026-05-10 15:11:38,0
cũng cũng🙃,4,2026-05-10 15:02:15,0
rất ổn hàng I như trên hình quản cáo,5,2026-05-10 15:02:07,0
rất hữu ích,5,2026-05-10 14:53:33,0
đặt hàng xog kh giao nhưng lại hiện đã giao hàng thành công????????,1,2026-05-10 14:44:11,4
giao hàng quá chậm. thế mà giới thiệu giao hàng siêu tốc ko bằg tik tok shop thất vọng về shoppee,1,2026-05-10 14:39:51,0
tôi bị dắt như dắt bò quay đc vocher 100k bắt đợi 12 giờ đêm mới đc dùng cũng ráng thức xong kết quả báo hết mã xu thì săn chơi đến màn trăm mấy rồi ko đc ba đêm liền thức mà ko đc gì sài tới cái nào báo hết mã cái máy nóng cả máy điên cả người,1,2026-05-10 14:38:52,0
"làm ơn bớt quảng cáo, cứ liên tục làm tôi phát điên lên được,",1,2026-05-10 14:33:12,0
app tốt,5,2026-05-10 14:27:30,0
xài mã giảm giá mà cứ bị lỗi quài ( tài khoản mới vẫn bị lỗi) đã thử thay bằng mã khác vẫn ko ảnh hưởng gì vẫn cứ báo lỗi,1,2026-05-10 14:21:21,0
quảng cáo gấy khó chịu ở khắp nơi,1,2026-05-10 14:08:39,0
❤️❤️❤️tuyệt .,5,2026-05-10 14:03:31,0
ship giao ko hết là để hàng chỗ khác để đã nhận vậy đó hả,2,2026-05-10 13:41:37,0
